elec_buy.emission_factor,elec_sell.emission_factor,elec_buy.variable_costs,elec_sell.variable_costs,weather.temperature,pv.fix,demand_heat.fix,dhs.temp_forward,dhs.temp_return,dhs_loss.fix,t_hp_air.eff_out_1,t_hp_air.max,t_hp_geo.eff_out_1,t_hp_ely.eff_out_1,t_hp_ely.eff_in_2,demand_elec.fix
0.259622051,-0.259622051,0.18,-0.04,0.3,0,1329.582191,65,45,44.60534634,1.983430062,0.646799804,3.11098,11.40692667,10.40692667,233.3531686
0.276618322,-0.276618322,0.18,-0.04,0.6,0.037159397,1362.991499,65,45,44.60534634,1.992669643,0.650417137,3.11098,11.40692667,10.40692667,302.1595774
0.273713777,-0.273713777,0.18,-0.04,1.2,0.062969076,1323.512828,65,45,44.60534634,2.011409483,0.657764154,3.11098,11.40692667,10.40692667,300.0708405
0.267045251,-0.267045251,0.18,-0.04,1.8,0.079826586,1261.24494,65,45,44.60534634,2.030505142,0.665264766,3.11098,11.40692667,10.40692667,297.0350663
0.265569203,-0.265569203,0.18,-0.04,1.4,0.130521898,1193.052803,65,45,44.60534634,2.01773467,0.660247063,3.11098,11.40692667,10.40692667,275.606317
0.268575728,-0.268575728,0.18,-0.04,1.7,0.111320654,1173.306847,65,45,44.60534634,2.027297393,0.6640038,3.11098,11.40692667,10.40692667,227.876589
0.296257318,-0.296257318,0.18,-0.04,1.2,0.115500905,1201.898296,65,45,44.60534634,2.011409483,0.657764154,3.11098,11.40692667,10.40692667,198.1118723
0.338694169,-0.338694169,0.18,-0.04,0.8,0.054084022,1191.011228,65,45,44.60534634,1.998877336,0.65284936,3.11098,11.40692667,10.40692667,226.2061772
0.376236249,-0.376236249,0.18,-0.04,-0.4,0,1139.342594,65,45,44.60534634,1.962200688,0.638501201,3.11098,11.40692667,10.40692667,227.4234725
0.391753377,-0.391753377,0.18,-0.04,-0.1,0,1093.772447,65,45,44.60534634,1.971243088,0.642033708,3.11098,11.40692667,10.40692667,204.8567528
0.406554392,-0.406554392,0.18,-0.04,-1.4,0,1071.439952,65,45,44.60534634,1.932649473,0.626979471,3.11098,11.40692667,10.40692667,168.8949584
0.418955918,-0.418955918,0.18,-0.04,-1.1,0,1070.024856,65,45,44.60534634,1.941420953,0.630395733,3.11098,11.40692667,10.40692667,149.9974571
0.432268964,-0.432268964,0.18,-0.04,-1.6,0,1091.18812,65,45,44.60534634,1.926845721,0.624720765,3.11098,11.40692667,10.40692667,132.2721889
0.436405605,-0.436405605,0.18,-0.04,-2.8,0,1142.545405,65,45,44.60534634,1.892742257,0.611475955,3.11098,11.40692667,10.40692667,128.6358395
0.442535917,-0.442535917,0.18,-0.04,-2.6,0,1233.561531,65,45,44.60534634,1.898342086,0.613647517,3.11098,11.40692667,10.40692667,110.1732602
0.441282427,-0.441282427,0.18,-0.04,-3.8,0,1312.864274,65,45,44.60534634,1.865231468,0.600826239,3.11098,11.40692667,10.40692667,91.41255365
0.438130254,-0.438130254,0.18,-0.04,-5.1,0,1358.889479,65,45,44.60534634,1.83064087,0.587480418,3.11098,11.40692667,10.40692667,69.57826653
0.440947658,-0.440947658,0.18,-0.04,-4.6,0,1399.382298,65,45,44.60534634,1.843792026,0.592548535,3.11098,11.40692667,10.40692667,60.16724777
0.447520538,-0.447520538,0.18,-0.04,-5,0,1435.091672,65,45,44.60534634,1.833256071,0.588487671,3.11098,11.40692667,10.40692667,57.50444709
0.442862091,-0.442862091,0.18,-0.04,-5.5,0,1454.31514,65,45,44.60534634,1.820254255,0.583482824,3.11098,11.40692667,10.40692667,56.28913454
0.436264638,-0.436264638,0.18,-0.04,-5.5,0,1466.49735,65,45,44.60534634,1.820254255,0.583482824,3.11098,11.40692667,10.40692667,57.04928557
0.439819031,-0.439819031,0.18,-0.04,-5.5,0,1487.326906,65,45,44.60534634,1.820254255,0.583482824,3.11098,11.40692667,10.40692667,62.18248475
0.456305939,-0.456305939,0.18,-0.04,-7.4,0,1512.719079,65,45,44.60534634,1.772485152,0.565156513,3.11098,11.40692667,10.40692667,80.32480409
0.463124354,-0.463124354,0.18,-0.04,-7.3,0,1573.148417,65,45,44.60534634,1.774936722,0.566094662,3.11098,11.40692667,10.40692667,121.4185458
0.469762219,-0.469762219,0.18,-0.04,-5.3,0,1632.053336,65,45,44.60534634,1.825432788,0.585475366,3.11098,11.40692667,10.40692667,233.3531686
0.475824779,-0.475824779,0.18,-0.04,-3,0.127320853,1654.135603,65,45,44.60534634,1.887175368,0.60931844,3.11098,11.40692667,10.40692667,302.1595774
0.483151964,-0.483151964,0.18,-0.04,-1.8,0.180952424,1572.385487,65,45,44.60534634,1.921076722,0.622476932,3.11098,11.40692667,10.40692667,300.0708405
0.490229019,-0.490229019,0.18,-0.04,-0.3,0.210311664,1461.455226,65,45,44.60534634,1.96520559,0.639674737,3.11098,11.40692667,10.40692667,297.0350663
0.500951509,-0.500951509,0.18,-0.04,0.2,0.268444635,1345.360646,65,45,44.60534634,1.980369213,0.645602212,3.11098,11.40692667,10.40692667,275.606317
0.512811996,-0.512811996,0.18,-0.04,0,0.118958319,1287.90975,65,45,44.60534634,1.974275769,0.643219184,3.11098,11.40692667,10.40692667,227.876589
0.525089189,-0.525089189,0.18,-0.04,-0.4,0.085501914,1299.993889,65,45,44.60534634,1.962200688,0.638501201,3.11098,11.40692667,10.40692667,198.1118723
0.539878328,-0.539878328,0.18,-0.04,-0.5,0.015204848,1292.341392,65,45,44.60534634,1.959204962,0.637331607,3.11098,11.40692667,10.40692667,226.2061772
0.543375365,-0.543375365,0.18,-0.04,-0.9,0,1241.118802,65,45,44.60534634,1.947312974,0.632692256,3.11098,11.40692667,10.40692667,227.4234725
0.535314475,-0.535314475,0.18,-0.04,-1,0,1188.54296,65,45,44.60534634,1.9443625,0.631542081,3.11098,11.40692667,10.40692667,204.8567528
0.530587617,-0.530587617,0.18,-0.04,-0.7,0,1153.443166,65,45,44.60534634,1.953240868,0.635004164,3.11098,11.40692667,10.40692667,168.8949584
0.531901351,-0.531901351,0.18,-0.04,-0.6,0,1137.066058,65,45,44.60534634,1.956218369,0.636165934,3.11098,11.40692667,10.40692667,149.9974571
0.536661776,-0.536661776,0.18,-0.04,-0.2,0,1132.776633,65,45,44.60534634,1.968219709,0.640852233,3.11098,11.40692667,10.40692667,132.2721889
0.540390302,-0.540390302,0.18,-0.04,0,0,1162.348669,65,45,44.60534634,1.974275769,0.643219184,3.11098,11.40692667,10.40692667,128.718053
